path	added	deleted	sum
codex-rs/app-server-protocol/src/protocol/thread_history.rs	395	323	718
codex-rs/core/src/config/config_tests.rs	634	0	634
codex-rs/tui/src/multi_agents/history_cells.rs	456	0	456
codex-rs/app-server-protocol/src/protocol/event_mapping.rs	34	391	425
codex-rs/core/src/config/mod.rs	387	2	389
codex-rs/core/src/session/mod.rs	303	41	344
codex-rs/hooks/src/events/user_prompt_submit.rs	265	77	342
codex-rs/hooks/src/events/session_start.rs	264	71	335
codex-rs/hooks/src/engine/command_runner.rs	231	71	302
codex-rs/hooks/src/engine/discovery.rs	91	201	292
codex-rs/core/src/agent/control.rs	237	30	267
codex-rs/core/src/tools/spec_plan.rs	27	226	253
codex-rs/hooks/src/events/compact.rs	189	50	239
codex-rs/tui/src/multi_agents/activity.rs	238	0	238
codex-rs/hooks/src/events/post_tool_use.rs	210	15	225
codex-rs/tui/src/multi_agents/render.rs	220	0	220
codex-rs/tui/src/multi_agents/mod.rs	187	0	187
codex-rs/hooks/src/events/permission_request_tests.rs	185	0	185
codex-rs/hooks/src/events/pre_tool_use.rs	128	49	177
codex-rs/hooks/src/events/permission_request.rs	70	84	154
codex-rs/core/src/session/turn.rs	136	10	146
codex-rs/core/src/session/session.rs	48	29	77
codex-rs/hooks/src/engine/dispatcher.rs	59	12	71
codex-rs/hooks/src/events/prompt_output.rs	69	0	69
codex-rs/tui/src/app.rs	7	60	67
codex-rs/core/src/tools/registry.rs	42	6	48
codex-rs/hooks/src/events/stop.rs	21	10	31
codex-rs/tui/src/chatwidget.rs	15	2	17
codex-rs/hooks/src/events/session_end.rs	9	6	15
codex-rs/hooks/src/events/session_end_tests.rs	8	4	12
codex-rs/hooks/src/events/mod.rs	1	0	1
